date,first_name,last_name,title,unit,badge
5/1/2021,RICH,ALLEN,DEPUTY CHIEF OF POLICE,ADSV,OLY2
5/1/2021,ADAM,ALLISON,OFFICER,PATR,16
5/1/2021,ERIC,ANDERSEN,,CR,
5/1/2021,BRENDA,ANDERSON,OFFICER,PATR,58
5/1/2021,JORDAN,ANDERSON,OFFICER,PATR,53
5/1/2021,PHILIP,ARIAS,CORRECTIONS OFFICER,CORR,
5/1/2021,RACHEL,ASHTON,PROGRAM ASSISTANT,CORR,
5/1/2021,JOHN,BADAMI,CORRECTIONS OFFICER,CORR,
5/1/2021,GREGG,BAKER,CORRECTIONS OFFICER,CORR,
5/1/2021,ALYSSA,BARBER,SECRETARY,PATR,
5/1/2021,BEN,BARNER,,,
5/1/2021,JOSEPH,BELLAMY,OFFICER,PATR,43
5/1/2021,RUSSELL,BOSTIC,,ADSV,
5/1/2021,TOM,BRYANT,,,
5/1/2021,GEORGE,CLARK,OFFICER,WALK,42
5/1/2021,TIFFANY,COATES,OFFICER,PATR,30
5/1/2021,KENNETH,COLLINS,OFFICER,PATR,34
5/1/2021,PATRICK,CONESA,,,
5/1/2021,KYLE,COOK,CORRECTIONS OFFICER,CORR,
5/1/2021,SAM,COSTELLO,DEPUTY CHIEF OF POLICE,SPEC,OLY3
5/1/2021,KATHERINE,CRONQUIST,,,
5/1/2021,JEFFREY,DAVIS,OFFICER,PATR,61
5/1/2021,GARY,DONALD,,,
5/1/2021,RYAN,DONALD,OFFICER,PATR,23
5/1/2021,LES,DUNCAN,PROGRAM ASSISTANT,ADSV,
5/1/2021,CLINT,EDWARDS,OFFICER,WALK,33
5/1/2021,ROBERT,EDWARDS,,,
5/1/2021,REN,EMERSON,LIEUTENANT,CORR,
5/1/2021,DANIEL,ESSELSTROM,CORRECTIONS OFFICER,CORR,
5/1/2021,PAUL,EVERS,SERGEANT,ADSV,
5/1/2021,AARON,FICEK,DETECTIVE,DET,41
5/1/2021,PAUL,FRAILEY,SERGEANT,NPO,S8
5/1/2021,K9,FRISCO,,,
5/1/2021,NICOLE,GLENN,DETECTIVE,DET,67
5/1/2021,PATRICK,GOULBOURNE,CORRECTIONS OFFICER,CORR,
5/1/2021,LONNIE,GRIFFIN,PROGRAM ASSISTANT,ADSV,
5/1/2021,AUSTIN,HANSEN,OFFICER,PATR,51
5/1/2021,MARK,HANSEN,,VOL,
5/1/2021,JONATHAN,HAZEN,OFFICER,PATR,52
5/1/2021,BRIAN,HEGGE,OFFICER,WALK,74
5/1/2021,ERIC,HENRICHSEN,OFFICER,DET,46
5/1/2021,BRYAN,HENRY,OFFICER,PATR,28
5/1/2021,JEFF,HERBIG,SERGEANT,PATR,S4
5/1/2021,DUANNE,HINRICHS,OFFICER,PATR,31
5/1/2021,RYAN,HIROTAKA,SERGEANT,PATR,S7
5/1/2021,JAYMEY,HOLMES,SERGEANT,CORR,
5/1/2021,ANTHONY,HORSFALL,CORRECTIONS OFFICER,CORR,
5/1/2021,BRYAN,HOUSER,SERGEANT,DET,S6
5/1/2021,KELLI,HULL,SERGEANT,CORR,
5/1/2021,PATRICK,HUTNIK,OFFICER,WALK,45
