Last Name,First Name,Middle,Rank,Department,Division,Shift,Additional Info,Serial Number
Abram,Augustine,,Police Secretary,Support Operations,Administrative Services,Secretary,,
Adam,David,,Police Officer,Field Operations,Patrol Operations (Hardin),Patrol A Side,3A South,
Arnold,Colin,,Police Student Officer,Support Operations,Administrative Services,Admin Services (1+3+2),CJTC Assignment and Academy Students,12509
Awai,John,,Police Sergeant,Support Operations,Administrative Services,Admin Services (1+3+3),,
Bailey,Lori,C,Police Service Specialist,Field Operations,Staff Services,Night Shift,,12245
Barfield,Scott,C,Police Officer,Field Operations,Investigations,Person Crimes,,
Barfield,Gregory,,Police Officer,Field Operations,Patrol Operations (Wilkinson),Patrol A Side,1A North,
Battle,Micah,C,Police Officer,Field Operations,Patrol Operations (Wilkinson),Patrol A Side,1A North,12049
Bauer,Scott,D,Police Officer,Support Operations,Special Operations,DET North,,11349
Billingsley,Liberty,L,Police Officer,Field Operations,Investigations,Property Crimes,,12170
Bird,Diane,,Police Service Specialist,Field Operations,Staff Services,Night Shift,,12300
Blanco,Jesse,M,Police Officer,Field Operations,Patrol Operations (Hardin),Patrol A Side,3A South,11854
Bonholzer,Tina,A,Police Service Specialist,Field Operations,Staff Services,Night Shift,,10767
Bowie,Blake,R,Police Officer,Field Operations,Patrol Operations (Wilkinson),Patrol A Side,1A North,12105
Boyer,Virginia,G,Police Svc Specialist Supervisor,Field Operations,Staff Services,Day Shift,,
Braun,Meghan,,Police Officer,Support Operations,Special Operations,SET,,
Brus,Halley,P,Police Officer,,,,,11663
Bunko,Georgia,,Electronic Home Detention,Support Operations,Administrative Services,Admin Services (1+3+2),Electronic Home Detention,
Burwell,Jenna,A,Police Service Specialist,Field Operations,Staff Services,Night Shift,,12465
Cannon,Monica,A,Police Service Specialist,Field Operations,Staff Services,Night Shift,,10655
Carstensen,Jacob,A,Police Officer,Field Operations,Patrol Operations (Wilkinson),Patrol B Side,3B North,11648
Castaneda,Vanessa,,Evidence Technician,Field Operations,Investigations,Property Crimes,Evidence Technician,11724
