badge_number,full_name,title,unit,unit_description,first_name,middle_name,last_name
5011,"Aagard, Lori K.",Police Lieutenant,B239   ,South Pct Ops,Lori,K,Aagard
4810,"Aakervik, Dag T",Police Officer Detective,B712F  ,Fugitive/Felony Warrants,Dag,T,Aakervik
7945,"Abdi, Habtamu M",Strategic Advisor Ii,A311A  ,Community Outreach - Outreach Squa~,Habtamu,M,Abdi
6270,"Abed, George E",Police Officer Detective,B765   ,Forensics - Crime Scene Investigat~,George,E,Abed
8057,"Abraha, Nahom Y",Identification Technician,B763G  ,Tenprint - Day Shift,Nahom,Y,Abraha
7203,"Abraha, Ytbarek",Parking Enfor Officer,B637G  ,Parking Enforcement - P7 Squad,Ytbarek,,Abraha
8740,"Abshir, Hussein M",Police Officer Probation,B243E  ,East Pct 3Rd W - Edward,Hussein,M,Abshir
8575,"Accomando, Molly Y",Police Officer,B243E  ,East Pct 3Rd W - Edward,Molly,Y,Accomando
7417,"Acuesta, Audi A",Police Officer,B181D  ,Crg - Squad 81D,Audi,A,Acuesta
7447,"Adams, David R",Police Sergeant,B182C  ,Crg - Squad 82C,David,R,Adams
7249,"Adams, Jacob S",Communications Dispatcher Supervisor,C314G  ,Comm - 2Nd W (A) - Ca,Jacob,S,Adams
8136,"Adams, Kristina P",Strategic Advisor I,A120A  ,"Opa - Compliance, Policy And Resea~",Kristina,P,Adams
7963,"Adams, Kyle E",Parking Enfor Officer,B637I  ,Parking Enforcement - P9 Squad,Kyle,E,Adams
8553,"Adams, Westin M",Police Officer,B122V  ,North Pct 2Nd W - B/N Relief,Westin,M,Adams
8355,"Addae, Jabari",Police Officer,A313A  ,Crisis Response Squad,Jabari,,Addae
6655,"Agate, Clayton D",Acting Police Officer Detective,B712I  ,Gun Violence Reduction Squad C,Clayton,D,Agate
8132,"Aguilar, Paul J",Police Comm Dispatcher I,C314I  ,Comm - 2Nd W (C) - Cb,Paul,J,Aguilar
7286,"Akerstrom, Jamie F",Parking Enfor Officer,B637I  ,Parking Enforcement - P9 Squad,Jamie,F,Akerstrom
7675,"Akiyama, Emily J",Police Officer,B242G  ,East Pct 2Nd W - George,Emily,J,Akiyama
8769,"Al Hanaya, Yosef A",Police Student Officer,C125F  ,Training - Field Training Squad,Hanaya,Yosef A,Al
5843,"Alcantara, Lora J.",Police Lieutenant,B119   ,West Pct Ops,Lora,J,Alcantara
8102,"Alexander, Joshua P",Fleet Mgmt Analyst,C503   ,Fleet Control Unit,Joshua,P,Alexander
8521,"Alidon, Cody V",Police Officer,B231S  ,South Pct 1St W - Sam,Cody,V,Alidon
8692,"Allen, Christopher T",Police Officer,B123U  ,North Pct 3Rd W - Union,Christopher,T,Allen
7763,"Allen, David B",Police Officer,B243T  ,East Pct 3Rd W - E/G Relief,David,B,Allen
8574,"Allen, Jeffrey D",Police Officer,B252T  ,Southwest Pct 2Nd W - F/W Relief,Jeffrey,D,Allen
6841,"Allen, John Timothy",Police Officer,B626C  ,Arson/Bomb - Operational Support D~,John,Timothy,Allen
5648,"Allen, Matthew P",Police Captain,B110   ,West Pct,Matthew,P,Allen
8175,"Allie, Dora L",Strategic Advisor Ii,C010F  ,Budget And Finance - Facilities Co~,Dora,L,Allie
8056,"Alpaugh, Jamie S",Admin Specialist Ii,B249Y  ,East Pct Ops - Administration,Jamie,S,Alpaugh
8435,"Alpaugh, Nicholas M",Police Officer,B122L  ,North Pct 2Nd W - Lincoln,Nicholas,M,Alpaugh
6760,"Alstrin, Kurt R",Police Officer,B632C  ,Traf - Motorcycle - T3 Squad,Kurt,R,Alstrin
8273,"Altenberger, Samuel",Police Comm Dispatcher I,C314O  ,Comm - 3Rd W (C) - Cb,Samuel,,Altenberger
6422,"Alton, Adrienne M",Parking Enfor Officer,B637A  ,Parking Enforcement - P1 Squad,Adrienne,M,Alton
8236,"Anderson, Amanda N",Community Service Officer,A311K  ,Community Service Office - Squad B,Amanda,N,Anderson
6749,"Anderson, Carl John",Police Officer,B621C  ,Swat - Night Squad 1,Carl,John,Anderson
6609,"Anderson, Chris J.",Police Officer,B122U  ,North Pct 2Nd W - Union,Chris,J,Anderson
6398,"Anderson, Edward A",Police Officer,C121B  ,Training - Advanced - Squad B,Edward,A,Anderson
8329,"Anderson, Jason M",Police Officer Detective,B752B  ,Auto Theft,Jason,M,Anderson
8040,"Anderson, Judyth M","Police Comm, Dispatcher Iii",C314K  ,Comm - 2Nd W (E) - Cc,Judyth,M,Anderson
7096,"Anderson, Kelli D","Latent Print Examiner, Sr",B763D  ,Latent Prints - Squad A,Kelli,D,Anderson
6054,"Anderson, Kimberly D",Police Officer Detective,A090A  ,Cop - Wellness Unit - Team A,Kimberly,D,Anderson
6066,"Anderson, Shane T",Police Sergeant Detective,B713S  ,Inv Supp - Special Investigations ~,Shane,T,Anderson
7147,"Anderson, Sue Ann",Police Comm Dispatcher I,C314N  ,Comm - 3Rd W (B) - Ca,Sue,Ann,Anderson
5607,"Anderson, Valarie D",Executive,C500   ,Administrative Services,Valarie,D,Anderson
7557,"Anderson, William F.",Police Officer,B181D  ,Crg - Squad 81D,William,F,Anderson
8491,"Anthes, Joseph J",Police Officer,B112D  ,West Pct 2Nd W - David,Joseph,J,Anthes
7400,"Anthony, Deanna S",Police Officer Detective,C114P  ,Apr - Policy And Procedures Detail,Deanna,S,Anthony
8085,"Aparicio, Kristen L",Admin Specialist I,C515B  ,Auto Records - Swing Shift,Kristen,L,Aparicio
8633,"Appiah-Agyekum, Yeboah",Police Officer,B112T  ,West Pct 2Nd W - K/Q Relief,Yeboah,,Appiah-Agyekum
8544,"Arana, Gabriele E",Police Officer,B122N  ,North Pct 2Nd W - Nora,Gabriele,E,Arana
5258,"Arata, James H",Police Lieutenant,B626   ,Arson/Bomb Unit,James,H,Arata
4193,"Aratani, J Kevin",Police Sergeant Detective,A810X  ,Hr - Department Unavailable Person~,J,Kevin,Aratani
5444,"Arbogast, Autumn L",Police Officer,A810X  ,Hr - Department Unavailable Person~,Autumn,L,Arbogast
6938,"Archer, Benjamin E.",Acting Police Officer Detective,C181A  ,Force Review Squad,Benjamin,E,Archer
7589,"Archide, Philip G.",Parking Enfor Officer,B637G  ,Parking Enforcement - P7 Squad,Philip,G,Archide
8259,"Argo, Mergitu M",Community Service Officer,A311K  ,Community Service Office - Squad B,Mergitu,M,Argo
8527,"Arino, David",Police Officer,B251T  ,Southwest Pct 1St W - F/W Relief,David,,Arino
6750,"Arulaid, Stephan",Police Officer,A311M  ,Mounted Patrol Squad,Stephan,,Arulaid
8266,"Ashburn, Justin",Police Comm Dispatcher I,C314K  ,Comm - 2Nd W (E) - Cc,Justin,,Ashburn
7797,"Asher, Bryan K",Police Officer,B113M  ,West Pct 3Rd W - Mary,Bryan,K,Asher
5678,"Askew, Willie O_Jr",Police Sergeant,A810X  ,Hr - Department Unavailable Person~,Willie,O_Jr,Askew
8805,"Aslanyan, Arpy V",Police Recruit,A810F  ,Hr - Blea - Academy Recruits,Arpy,V,Aslanyan
8638,"Astorita, David H",Police Officer,B241T  ,East Pct 1St W - E/G Relief (Charl~,David,H,Astorita
6113,"Asuncion, Cornelius O","Parking Enfor Officer, Spvsr",B637D  ,Parking Enforcement - P4 Squad,Cornelius,O,Asuncion
7861,"Atherley, Loren T.",Strategic Advisor Iii,C050   ,Data Analytics (Dap),Loren,T,Atherley
8134,"Atkins, Geoffrey S",Police Comm Dispatcher I,C314G  ,Comm - 2Nd W (A) - Ca,Geoffrey,S,Atkins
5716,"Atkinson, Angela M",Police Sergeant,B122L  ,North Pct 2Nd W - Lincoln,Angela,M,Atkinson
8663,"Atkinson, Holly A",Police Officer,B113T  ,West Pct 3Rd W - K/Q Relief,Holly,A,Atkinson
7632,"Atkinson, Matthew T.",Acting Police Officer Detective,B722B  ,Sau Squad B,Matthew,T,Atkinson
6921,"Atofau, Jason K",Police Officer,B233O  ,South Pct 3Rd W - Ocean,Jason,K,Atofau
7874,"Attrill, Tiffany S.",Victim Advocate,B721V  ,Dv - Vst (Victim Support Team),Tiffany,S,Attrill
8248,"Atwal, Jagbir S",Community Service Officer,A311K  ,Community Service Office - Squad B,Jagbir,S,Atwal
7499,"Auderer, Daniel A",Police Officer,B182D  ,Crg - Squad 82D,Daniel,A,Auderer
7944,"Auflick, Matthew J",Strategic Advisor Iii,A210B  ,Emergency Mgmnt - Education And Ou~,Matthew,J,Auflick
6045,"Avery, Monique Y",Police Officer Detective,B752A  ,"Fraud, Forgery And Financial Explo~",Monique,Y,Avery
7943,"Baardse, Richard C",Parking Enfor Officer,B637G  ,Parking Enforcement - P7 Squad,Richard,C,Baardse
7236,"Babcock, Vincent W",Parking Enfor Officer,B637I  ,Parking Enforcement - P9 Squad,Vincent,W,Babcock
6711,"Bach, Scotty O",Police Sergeant,B252T  ,Southwest Pct 2Nd W - F/W Relief,Scotty,O,Bach
5412,"Bachler, Scott J",Police Lieutenant,B760A  ,Forensics Section - Management,Scott,J,Bachler
8619,"Backman, Zachary D",Police Officer,B113T  ,West Pct 3Rd W - K/Q Relief,Zachary,D,Backman
5144,"Bacon, Thomas M",Acting Police Sergeant,A810X  ,Hr - Department Unavailable Person~,Thomas,M,Bacon
7167,"Bahandori, Esmat Zangouei","Accountant, Sr",C501B  ,Fiscal - Squad B,Esmat,Zangouei,Bahandori
8715,"Bailey, David G",Police Officer Probation,B123J  ,North Pct 3Rd W - John,David,G,Bailey
6240,"Bailey, Ryan D",Police Officer,B625D  ,Harbor - Squad D,Ryan,D,Bailey
6848,"Bailey, Terry C",Acting Police Officer Detective,B712I  ,Gun Violence Reduction Squad C,Terry,C,Bailey
5502,"Baily, Anthony T",Police Sergeant,B119I  ,West Pct Ops - Sea Ctr,Anthony,T,Baily
6110,"Bair, Krista C",Acting Police Lieutenant,B241   ,East Pct 1St W,Krista,C,Bair
7958,"Baird, Mark R",Chief Operating Officer,C000   ,Coo - Chief Operating Officer,Mark,R,Baird
8082,"Baker, Lisa M",Police Data Technician,C521A  ,Data Center - Day Shift,Lisa,M,Baker
8725,"Baker, Nicholas J",Police Officer,B112K  ,West Pct 2Nd W - King,Nicholas,J,Baker
8418,"Baldwin, Vernon M",Police Officer,B181B  ,Crg - Squad 81B,Vernon,M,Baldwin
6783,"Bale, Steven C",Police Sergeant,B252F  ,Southwest Pct 2Nd W - Frank,Steven,C,Bale
4835,"Ballingham, John G",Police Lieutenant,B712   ,"Robbery, Fugitive And Gun Violence~",John,G,Ballingham
8643,"Balter, Lauren I",Police Officer,B122V  ,North Pct 2Nd W - B/N Relief,Lauren,I,Balter
6103,"Banez, Joselito U",Police Officer,B231T  ,South Pct 1St W - R/S Relief,Joselito,U,Banez
8664,"Banks, Elijah R",Police Officer,B113V  ,West Pct 3Rd W - D/M Relief,Elijah,R,Banks
5111,"Barden, Eric R",Police Lieutenant,B731   ,Narc - Proactive Unit,Eric,R,Barden
